Date,AAPL,AMZN,GOOG,HD,IBM,MCD,MMM,NFLX,NVDA,PSX,TSLA,TXN
2015-07-08,115.64416499999999,429.700012,516.830017,103.525002,142.67131,87.482277,140.615479,93.507141,19.199192,71.19171899999999,254.960007,45.636311
2015-07-09,113.285416,434.39001500000006,520.679993,103.87944,143.274689,88.0756,141.57312,95.727142,18.964697,72.053268,257.920013,44.327946000000004
2015-07-10,116.31404099999999,443.51000999999997,530.130005,105.483604,145.985367,89.134438,142.678055,97.228569,19.296898000000002,73.903336,259.149994,45.157191999999995
2015-07-13,118.55956299999998,455.57000700000003,546.549988,107.162392,148.110229,89.846428,144.077682,101.08714300000001,19.423914,75.653664,262.160004,45.452042
2015-07-14,118.51238300000001,465.57000700000003,561.099976,107.59142299999999,147.436905,90.165909,144.36312900000001,100.371429,19.433685,75.744354,265.649994,45.848236
2015-07-15,119.65401499999999,461.19000199999994,560.219971,107.7966,147.366974,90.43061800000001,143.644913,98.129997,19.296898000000002,74.15728,263.140015,45.599461
2015-07-16,121.24852800000001,475.48001100000005,579.849976,107.00383799999999,149.52681,89.326126,144.72226,115.809998,19.726803,75.463219,266.679993,45.479679
2015-07-17,122.295799,483.01000999999997,672.929993,106.76134499999999,150.84716799999998,88.997528,144.280304,114.769997,19.609554,75.490425,274.660004,45.479679
2015-07-20,124.607368,488.10000599999995,663.02002,105.772728,151.468018,88.988396,144.676208,110.550003,19.248045,74.665146,282.26001,46.152294
2015-07-21,123.36196100000001,488.0,662.299988,106.19243600000001,142.592636,88.833229,143.42391999999998,112.510002,19.335976000000002,74.34773299999999,266.769989,46.281292
2015-07-22,118.14443200000001,488.26998899999995,662.099976,107.162392,140.214172,89.070549,143.10163899999998,111.5,18.964697,74.21169300000001,267.869995,45.4244
2015-07-23,118.08780700000001,482.17999299999997,644.280029,106.873268,141.42086799999998,88.623283,137.659744,110.099998,19.199192,73.812668,267.200012,46.539272
2015-07-24,117.465096,529.419983,623.5599980000001,105.940605,139.689499,87.719604,137.503189,109.339996,18.974466,71.672371,265.410004,45.175625
